"class_id","official_name","chinese_name","mapping_type","phenology_target","scientific_name_or_scope","lookup_terms_fr","prior_policy","source_status","primary_source_title","primary_source_url","confidence","notes"
"0","Background","非农业背景","neutral","Non-agricultural background","not a crop","occupation du sol non agricole","neutral prior; do not assign a crop calendar","confirmed","PASTIS official label names","https://github.com/VSainteuf/pastis-benchmark/blob/main/documentation/label_names.json","high","Effective class but not a plant; original label 19 is the separate void label."
"1","Meadow","草地/牧草地","group","Permanent or temporary grassland","mixed grasses and forage species","prairie permanente; prairie temporaire; pousse de l'herbe","broad or multi-peak group prior; validate from train data","source candidate","Institut de l'Elevage grass-growth material","https://idele.fr/?cHash=ec1a9872f017988fcf2895d31f39f56c&eID=cmis_download&oID=workspace%3A%2F%2FSpacesStore%2F5054d66b-f715-4ac6-9caa-104c73c5b761","medium","Not one plant; mowing, grazing, summer slowdown and autumn regrowth vary by region and management."
"2","Soft winter wheat","软质冬小麦","direct","Soft winter wheat","Triticum aestivum","ble tendre d'hiver; semis; epiaison; moisson","crop-specific soft prior with regional uncertainty","source candidate","ARVALIS: Strategies de semis du ble tendre","https://www.arvalis.fr/infos-techniques/date-de-semis-du-ble-differencier-levolution-des-parcelles","high","Direct crop mapping; dates still need to be converted into tile-specific phases."
"3","Corn","玉米","ambiguous","Maize","Zea mays; grain or forage use unspecified","mais grain; mais fourrage; semis; floraison; recolte","broad maize prior until grain-versus-forage composition is verified","source candidate","ARVALIS: Mais - les cles pour reussir les semis precoces","https://www.arvalis.fr/infos-techniques/mais-les-cles-pour-reussir-les-semis-precoces","medium","Species is direct, but grain maize and forage maize have different harvest dates."
"4","Winter barley","冬大麦","direct","Winter barley","Hordeum vulgare, winter type","orge d'hiver; semis; epiaison; moisson","crop-specific soft prior with regional uncertainty","source candidate","ARVALIS: Orge d'hiver - raisonner les dates et densites de semis","https://www.arvalis.fr/infos-techniques/orge-dhiver-raisonner-les-dates-et-densites-de-semis","high","Direct crop mapping."
"5","Winter rapeseed","冬油菜","direct","Winter oilseed rape","Brassica napus, winter type","colza d'hiver; semis; floraison; recolte","crop-specific soft prior with regional uncertainty","source candidate","Terres Inovia: Colza - semer a la date optimale","https://www.terresinovia.fr/fr/informations-techniques/colza/colza-semer-la-date-optimale-meme-dans-le-sec","high","Direct crop mapping; use regional recommendations where available."
"6","Spring barley","春大麦","ambiguous","Spring barley","Hordeum vulgare, spring type","orge de printemps; semis de printemps; semis d'automne","mixture or broad prior reflecting spring and possible autumn sowing","source candidate","ARVALIS: Orges de printemps - itineraire en Bourgogne-Franche-Comte","https://www.arvalis.fr/infos-techniques/orges-de-printemps-mieux-vaut-attendre-le-ressuyage-des-sols-pour-semer","medium","The cultivar type is known, but French spring barley may be sown in late autumn or after winter."
"7","Sunflower","向日葵","direct","Sunflower","Helianthus annuus","tournesol; semis; floraison; recolte","crop-specific soft prior with regional uncertainty","source candidate","Terres Inovia: Semer son tournesol tot","https://www.terresinovia.fr/fr/informations-techniques/tournesol/semer-son-tournesol-tot-en-sol-suffisamment-rechauffe","high","Direct crop mapping; sowing and harvest depend strongly on region and variety earliness."
"8","Grapevine","葡萄园","direct","Grapevine","Vitis vinifera; cultivar unspecified","vigne; debourrement; floraison; veraison; vendange","perennial crop prior with cultivar and region uncertainty","source candidate","INRAE Climpact: Vigne - indicateurs agroclimatiques","https://climpact.inrae.fr/projets/productions-vegetales/vigne-indicateurs-agroclimatiques","medium","Species group is direct, but cultivar and wine region are unspecified; winter dormancy must remain represented."
"9","Beet","甜菜","ambiguous","Beet, likely sugar beet","Beta vulgaris; production type not confirmed by PASTIS label","betterave sucriere; semis; couverture; arrachage","do not finalize prior until the original French parcel-code aggregation is verified","source candidate","ITB: Implantation / semis","https://www.itbfr.org/saisons-culturales/implantation-semis","medium","The official label only says Beet; sugar beet is a plausible French agricultural interpretation but is not yet proven from the label name alone."
